strategy,N,score,nbEval,nbSolutionCourante
best,4,0.5,49,1
best,4,0.5,98,2
best,4,0.125,192,3
best,4,0.5,49,1
best,4,0.125,192,3
best,4,0.375,56,1
best,4,0.25,128,2
best,4,0.0,195,3
best,4,0.25,122,2
best,4,0.375,56,1
best,5,0.5,101,1
best,5,0.5,202,2
best,5,0.2,548,4
best,5,0.2,411,3
best,5,0.2,548,4
best,5,0.4,115,1
best,5,0.5,202,2
best,5,0.1,290,2
best,5,0.4,230,2
best,5,0.5,101,1
best,9,0.2778,3540,4
best,9,0.1667,5946,6
best,9,0.2778,3540,4
best,9,0.4444,2133,3
best,9,0.1667,4955,5
best,9,0.3889,2313,3
best,9,0.1111,4164,4
best,9,0.2222,5634,6
best,9,0.1667,7928,8
best,9,0.3333,2487,3
first,4,0.0,148,4
first,4,0.125,71,4
first,4,0.5,49,1
first,4,0.25,70,2
first,4,0.0,81,3
first,4,0.125,76,3
first,4,0.5,49,1
first,4,0.375,61,2
first,4,0.125,77,3
first,4,0.25,66,2
first,5,0.4,116,2
first,5,0.4,120,3
first,5,0.5,101,1
first,5,0.1,249,4
first,5,0.1,178,4
first,5,0.2,166,5
first,5,0.1,198,3
first,5,0.0,206,6
first,5,0.5,101,1
first,5,0.2,151,5
first,9,0.5,661,4
first,9,0.2222,998,7
first,9,0.3889,800,5
first,9,0.0556,1879,9
first,9,0.5,675,3
first,9,0.3889,790,5
first,9,0.3889,781,5
first,9,0.0,2043,10
first,9,0.0556,1188,13
first,9,0.3889,819,6
k2,4,0.125,111,5
k2,4,0.5,49,1
k2,4,0.25,61,1
k2,4,0.0,154,4
k2,4,0.5,55,2
k2,4,0.5,52,2
k2,4,0.5,49,1
k2,4,0.0,138,4
k2,4,0.125,118,5
k2,4,0.125,83,2
k2,5,0.2,155,3
k2,5,0.3,131,2
k2,5,0.1,174,3
k2,5,0.3,176,4
k2,5,0.2,172,3
k2,5,0.4,127,2
k2,5,0.3,132,2
k2,5,0.2,191,5
k2,5,0.3,153,3
k2,5,0.5,101,1
k2,9,0.4444,751,3
k2,9,0.0,2888,13
k2,9,0.1111,2224,7
k2,9,0.5,656,2
k2,9,0.0556,1725,7
k2,9,0.2778,945,4
k2,9,0.0,3140,8
k2,9,0.4444,747,4
k2,9,0.3889,795,4
k2,9,0.3333,850,3
k5,4,0.375,56,1
k5,4,0.375,56,1
k5,4,0.25,91,2
k5,4,0.125,145,3
k5,4,0.25,61,1
k5,4,0.25,101,3
k5,4,0.0,198,5
k5,4,0.25,81,2
k5,4,0.125,138,3
k5,4,0.125,157,3
k5,5,0.5,113,2
k5,5,0.1,312,5
k5,5,0.3,169,3
k5,5,0.1,321,4
k5,5,0.1,367,4
k5,5,0.4,160,4
k5,5,0.1,481,5
k5,5,0.1,339,4
k5,5,0.4,136,2
k5,5,0.5,101,1
k5,9,0.1111,2378,7
k5,9,0.2778,1036,4
k5,9,0.3333,988,5
k5,9,0.2778,1140,5
k5,9,0.2222,1205,4
k5,9,0.2778,1261,6
k5,9,0.2222,1042,4
k5,9,0.0556,3162,9
k5,9,0.4444,751,2
k5,9,0.2778,1178,6
k10,4,0.125,142,3
k10,4,0.25,121,2
k10,4,0.5,49,1
k10,4,0.375,80,2
k10,4,0.0,193,3
k10,4,0.125,117,2
k10,4,0.5,66,2
k10,4,0.25,92,2
k10,4,0.375,83,2
k10,4,0.25,112,3
k10,5,0.5,138,3
k10,5,0.2,248,2
k10,5,0.4,145,2
k10,5,0.4,159,2
k10,5,0.1,363,4
k10,5,0.3,127,1
k10,5,0.5,101,1
k10,5,0.1,625,5
k10,5,0.4,115,1
k10,5,0.4,143,2
k10,9,0.1667,3029,6
k10,9,0.3889,842,2
k10,9,0.2778,1336,6
k10,9,0.5,679,2
k10,9,0.2778,1161,3
k10,9,0.3889,941,3
k10,9,0.2778,1290,5
k10,9,0.4444,782,2
k10,9,0.2222,1543,5
k10,9,0.0556,3780,7
