strategy,N,score,nbEval,nbSolutionCourante
ilsbestv1,4,0.25,200000,1724
ilsbestv1,4,0.25,200000,1757
ilsbestv1,4,0.25,200000,1736
ilsbestv1,4,0.25,200000,1744
ilsbestv1,4,0.25,200000,1765
ilsbestv1,4,0.25,200000,1726
ilsbestv1,4,0.25,200000,1743
ilsbestv1,4,0.25,200000,1748
ilsbestv1,4,0.25,200000,1746
ilsbestv1,4,0.25,200000,1724
ilsbestv1,5,0.2,200000,645
ilsbestv1,5,0.2,200000,655
ilsbestv1,5,0.2,200000,659
ilsbestv1,5,0.2,200000,654
ilsbestv1,5,0.2,200000,656
ilsbestv1,5,0.2,200000,668
ilsbestv1,5,0.2,200000,654
ilsbestv1,5,0.2,200000,650
ilsbestv1,5,0.2,200000,652
ilsbestv1,5,0.2,200000,662
ilsbestv1,6,0.0833,200000,234
ilsbestv1,6,0.0833,200000,227
ilsbestv1,6,0.0833,200000,231
ilsbestv1,6,0.0833,200000,231
ilsbestv1,6,0.0833,200000,225
ilsbestv1,6,0.0833,200000,224
ilsbestv1,6,0.0833,200000,235
ilsbestv1,6,0.0833,200000,234
ilsbestv1,6,0.0833,200000,224
ilsbestv1,6,0.0833,200000,227
ilsbestv1,10,0.45,200000,77
ilsbestv1,10,0.45,200000,85
ilsbestv1,10,0.45,200000,82
ilsbestv1,10,0.45,200000,80
ilsbestv1,10,0.45,200000,85
ilsbestv1,10,0.45,200000,85
ilsbestv1,10,0.45,200000,78
ilsbestv1,10,0.45,200000,82
ilsbestv1,10,0.45,200000,83
ilsbestv1,10,0.45,200000,80
ilsbestv1,12,0.5,200000,46
ilsbestv1,12,0.5,200000,48
ilsbestv1,12,0.5,200000,47
ilsbestv1,12,0.5,200000,48
ilsbestv1,12,0.5,200000,45
ilsbestv1,12,0.5,200000,48
ilsbestv1,12,0.5,200000,51
ilsbestv1,12,0.5,200000,53
ilsbestv1,12,0.5,200000,53
ilsbestv1,12,0.5,200000,48
ilsbestv1,13,0.3462,200000,20
ilsbestv1,13,0.3462,200000,18
ilsbestv1,13,0.3462,200000,19
ilsbestv1,13,0.3462,200000,22
