strategy,N,score,nbEval,nbSolutionCourante
ilsbestv2,4,0.0,200000,763
ilsbestv2,4,0.0,200000,761
ilsbestv2,4,0.0,200000,777
ilsbestv2,4,0.0,200000,776
ilsbestv2,4,0.0,200000,786
ilsbestv2,4,0.0,200000,767
ilsbestv2,4,0.0,200000,751
ilsbestv2,4,0.0,200000,800
ilsbestv2,4,0.0,200000,763
ilsbestv2,4,0.0,200000,780
ilsbestv2,5,0.0,200000,283
ilsbestv2,5,0.0,200000,289
ilsbestv2,5,0.0,200000,287
ilsbestv2,5,0.0,200000,275
ilsbestv2,5,0.0,200000,279
ilsbestv2,5,0.0,200000,283
ilsbestv2,5,0.0,200000,289
ilsbestv2,5,0.0,200000,285
ilsbestv2,5,0.0,200000,276
ilsbestv2,5,0.0,200000,280
ilsbestv2,6,0.0,200000,114
ilsbestv2,6,0.0,200000,113
ilsbestv2,6,0.0,200000,121
ilsbestv2,6,0.0,200000,113
ilsbestv2,6,0.0,200000,112
ilsbestv2,6,0.0,200000,114
ilsbestv2,6,0.0,200000,117
ilsbestv2,6,0.0,200000,114
ilsbestv2,6,0.0,200000,117
ilsbestv2,6,0.0,200000,118
ilsbestv2,10,0.0,200000,10
ilsbestv2,10,0.0,200000,10
ilsbestv2,10,0.05,200000,10
ilsbestv2,10,0.05,200000,11
ilsbestv2,10,0.05,200000,12
ilsbestv2,10,0.05,200000,10
ilsbestv2,10,0.0,200000,9
ilsbestv2,10,0.0,200000,9
ilsbestv2,10,0.05,200000,9
ilsbestv2,10,0.05,200000,11
ilsbestv2,12,0.0833,200000,4
ilsbestv2,12,0.0417,200000,5
ilsbestv2,12,0.0417,200000,5
ilsbestv2,12,0.0833,200000,5
ilsbestv2,12,0.0,200000,4
ilsbestv2,12,0.0,200000,4
ilsbestv2,12,0.125,200000,5
ilsbestv2,12,0.0417,200000,5
ilsbestv2,12,0.0417,200000,4
ilsbestv2,12,0.0417,200000,5
ilsbestv2,13,0.0769,200000,3
ilsbestv2,13,0.0,200000,2
ilsbestv2,13,0.0385,200000,3
ilsbestv2,13,0.0385,200000,3
ilsbestv2,13,0.0385,200000,3
ilsbestv2,13,0.0769,200000,3
ilsbestv2,13,0.0769,200000,3
ilsbestv2,13,0.1154,200000,3
ilsbestv2,13,0.0385,200000,3
ilsbestv2,13,0.0385,200000,3
ilsbestv2,14,0.0357,200000,1
ilsbestv2,14,0.0714,200000,1
ilsbestv2,14,0.1071,200000,2
ilsbestv2,14,0.0357,200000,1
ilsbestv2,14,0.1071,200000,2
ilsbestv2,14,0.0357,200000,1
ilsbestv2,14,0.1071,200000,2
ilsbestv2,14,0.0714,200000,1
ilsbestv2,14,0.1429,200000,2
ilsbestv2,14,0.0357,200000,1
ilsbestv2,20,0.5,200000,1
ilsbestv2,20,0.5,200000,1
ilsbestv2,20,0.5,200000,1
ilsbestv2,20,0.5,200000,1
