strategy,N,score,nbEval,nbSolutionCourante
best,4,0.375,56,1
best,4,0.5,98,2
best,4,0.375,112,2
best,4,0.5,49,1
best,4,0.5,49,1
best,4,0.5,49,1
best,4,0.125,256,4
best,4,0.25,122,2
best,4,0.25,61,1
best,4,0.5,49,1
best,5,0.2,411,3
best,5,0.5,303,3
best,5,0.2,411,3
best,5,0.4,230,2
best,5,0.1,580,4
best,5,0.5,101,1
best,5,0.1,580,4
best,5,0.3,254,2
best,5,0.3,381,3
best,5,0.5,101,1
best,9,0.1111,6246,6
best,9,0.3889,2313,3
best,9,0.4444,1422,2
best,9,0.1667,5946,6
best,9,0.1111,6246,6
best,9,0.2778,2655,3
best,9,0.2778,3540,4
best,9,0.4444,1422,2
best,9,0.2222,5634,6
best,9,0.4444,2844,4
first,4,0.125,79,3
first,4,0.0,93,4
first,4,0.5,49,1
first,4,0.5,51,2
first,4,0.5,50,2
first,4,0.25,64,2
first,4,0.375,56,1
first,4,0.0,85,5
first,4,0.25,72,3
first,4,0.5,49,1
first,5,0.2,170,4
first,5,0.1,154,3
first,5,0.3,127,1
first,5,0.3,131,2
first,5,0.1,160,4
first,5,0.1,202,6
first,5,0.3,132,3
first,5,0.3,140,2
first,5,0.4,120,2
first,5,0.2,155,3
first,9,0.0556,1809,8
first,9,0.3889,785,4
first,9,0.2778,971,5
first,9,0.5,657,2
first,9,0.4444,723,4
first,9,0.3889,796,4
first,9,0.2222,999,7
first,9,0.1667,1059,10
first,9,0.1667,1177,7
first,9,0.4444,717,3
k2,4,0.0,107,4
k2,4,0.25,88,3
k2,4,0.125,85,3
k2,4,0.375,56,1
k2,4,0.0,143,3
k2,4,0.0,168,5
k2,4,0.375,56,1
k2,4,0.375,56,1
k2,4,0.0,176,4
k2,4,0.375,70,3
k2,5,0.5,101,1
k2,5,0.4,119,2
k2,5,0.2,187,3
k2,5,0.2,229,4
k2,5,0.5,101,1
k2,5,0.0,457,4
k2,5,0.0,449,5
k2,5,0.2,151,3
k2,5,0.0,349,6
k2,5,0.4,130,2
k2,9,0.1667,1167,6
k2,9,0.1111,1387,9
k2,9,0.3889,810,5
k2,9,0.1111,1254,7
k2,9,0.3889,799,4
k2,9,0.5,655,2
k2,9,0.1667,1200,6
k2,9,0.1111,1458,11
k2,9,0.4444,729,4
k2,9,0.2778,948,3
k5,4,0.125,170,3
k5,4,0.25,84,2
k5,4,0.375,56,1
k5,4,0.375,81,3
k5,4,0.125,163,4
k5,4,0.375,75,2
k5,4,0.125,107,2
k5,4,0.125,143,3
k5,4,0.125,139,3
k5,4,0.125,82,2
k5,5,0.0,524,5
k5,5,0.5,101,1
k5,5,0.2,248,3
k5,5,0.3,138,2
k5,5,0.0,505,5
k5,5,0.1,212,3
k5,5,0.4,155,3
k5,5,0.4,115,1
k5,5,0.1,322,5
k5,5,0.3,151,2
k5,9,0.2222,1470,5
k5,9,0.2778,1075,3
k5,9,0.0556,2906,8
k5,9,0.2222,1593,6
k5,9,0.2222,1584,5
k5,9,0.3889,898,4
k5,9,0.2222,1223,8
k5,9,0.3889,921,4
k5,9,0.2778,1050,4
k5,9,0.0556,3543,11
k10,4,0.375,56,1
k10,4,0.125,156,3
k10,4,0.25,75,2
k10,4,0.25,141,3
k10,4,0.375,97,2
k10,4,0.25,148,3
k10,4,0.125,138,3
k10,4,0.0,178,3
k10,4,0.5,66,2
k10,4,0.375,98,2
k10,5,0.5,101,1
k10,5,0.3,241,3
k10,5,0.3,188,3
k10,5,0.5,116,2
k10,5,0.5,130,2
k10,5,0.3,179,2
k10,5,0.1,581,5
k10,5,0.2,182,2
k10,5,0.3,271,3
k10,5,0.4,154,2
k10,9,0.1667,2665,9
k10,9,0.0556,4650,9
k10,9,0.2778,1124,3
k10,9,0.3889,856,2
k10,9,0.0556,3462,7
k10,9,0.0556,2889,6
k10,9,0.2778,1371,5
k10,9,0.3333,1205,4
k10,9,0.3889,1031,4
k10,9,0.0556,3933,9
