Strategie,N,iteration,score,nb_eval,nb_pas
F,4,1,0.375,62,2
F,4,2,0.375,57,2
F,4,3,0.375,63,2
F,4,4,0.375,61,2
F,4,5,0.375,58,2
F,4,6,0.375,58,2
F,4,7,0.375,62,2
F,4,8,0.375,62,2
F,4,9,0.375,64,2
F,4,10,0.375,59,2
F,5,1,0.0,208,6
F,5,2,0.1,200,6
F,5,3,0.2,249,6
F,5,4,0.0,212,8
F,5,5,0.1,169,5
F,5,6,0.0,360,8
F,5,7,0.2,210,6
F,5,8,0.1,179,6
F,5,9,0.1,293,6
F,5,10,0.1,234,7
F,6,1,0.25,251,3
F,6,2,0.25,261,5
F,6,3,0.25,258,5
F,6,4,0.25,261,4
F,6,5,0.25,277,5
F,6,6,0.25,263,5
F,6,7,0.25,302,4
F,6,8,0.25,252,4
F,6,9,0.25,263,4
F,6,10,0.25,297,5
