strategy,N,score,nbEval,nbSolutionCourante
best,4,0.375,56,1
best,4,0.375,56,1
best,4,0.375,56,1
best,4,0.375,56,1
best,4,0.375,56,1
best,4,0.375,56,1
best,4,0.375,56,1
best,4,0.375,56,1
best,4,0.375,56,1
best,4,0.375,56,1
best,5,0.2,411,3
best,5,0.2,411,3
best,5,0.2,411,3
best,5,0.2,411,3
best,5,0.2,411,3
best,5,0.2,411,3
best,5,0.2,411,3
best,5,0.2,411,3
best,5,0.2,411,3
best,5,0.2,411,3
best,6,0.4167,408,2
best,6,0.4167,408,2
best,6,0.4167,408,2
best,6,0.4167,408,2
best,6,0.4167,408,2
best,6,0.4167,408,2
best,6,0.4167,408,2
best,6,0.4167,408,2
best,6,0.4167,408,2
best,6,0.4167,408,2
best,10,0.5,1802,2
best,10,0.5,1802,2
best,10,0.5,1802,2
best,10,0.5,1802,2
best,10,0.5,1802,2
best,10,0.5,1802,2
best,10,0.5,1802,2
best,10,0.5,1802,2
best,10,0.5,1802,2
best,10,0.5,1802,2
best,12,0.2917,10800,5
best,12,0.2917,10800,5
best,12,0.2917,10800,5
best,12,0.2917,10800,5
best,12,0.2917,10800,5
best,12,0.2917,10800,5
best,12,0.2917,10800,5
best,12,0.2917,10800,5
best,12,0.2917,10800,5
best,12,0.2917,10800,5
best,13,0.0,37190,10
best,13,0.0,37190,10
best,13,0.0,37190,10
best,13,0.0,37190,10
best,13,0.0,37190,10
best,13,0.0,37190,10
best,13,0.0,37190,10
best,13,0.0,37190,10
best,13,0.0,37190,10
best,13,0.0,37190,10
best,14,0.0,56460,12
best,14,0.0,56460,12
best,14,0.0,56460,12
best,14,0.0,56460,12
best,14,0.0,56460,12
best,14,0.0,56460,12
best,14,0.0,56460,12
best,14,0.0,56460,12
best,14,0.0,56460,12
best,14,0.0,56460,12
best,20,0.3,72919,7
best,20,0.3,72919,7
best,20,0.3,72919,7
best,20,0.3,72919,7
best,20,0.3,72919,7
best,20,0.3,72919,7
best,20,0.3,72919,7
best,20,0.3,72919,7
best,20,0.3,72919,7
best,20,0.3,72919,7
first,4,0.375,56,1
first,4,0.375,56,1
first,4,0.375,56,1
first,4,0.375,56,1
first,4,0.375,56,1
first,4,0.375,56,1
first,4,0.375,56,1
first,4,0.375,56,1
first,4,0.375,56,1
first,4,0.375,56,1
first,5,0.2,168,4
first,5,0.2,163,4
first,5,0.2,148,4
first,5,0.2,155,4
first,5,0.2,142,3
first,5,0.2,145,4
