strategy,N,score,nbEval,nbSolutionCourante
best,4,0.0,434,4
best,4,0.0,394,4
best,4,0.0,408,4
best,4,0.0,398,4
best,4,0.0,395,4
best,4,0.0,405,4
best,4,0.0,386,4
best,4,0.0,417,4
best,4,0.0,397,4
best,4,0.0,401,4
best,5,0.1,987,4
best,5,0.2,774,3
best,5,0.2,1035,4
best,5,0.0,1259,5
best,5,0.1,1004,4
best,5,0.1,1237,5
best,5,0.2,743,3
best,5,0.1,945,4
best,5,0.2,1008,4
best,5,0.2,756,3
best,6,0.0833,2026,4
best,6,0.0833,2030,4
best,6,0.0833,2027,4
best,6,0.0833,1984,4
best,6,0.1667,1502,3
best,6,0.0833,2085,4
best,6,0.1667,2032,4
best,6,0.1667,1529,3
best,6,0.1667,1520,3
best,6,0.0833,2032,4
best,10,0.15,33717,9
best,10,0.1,37345,10
best,10,0.0,44618,12
best,10,0.05,40873,11
best,10,0.15,33417,9
best,10,0.15,33557,9
best,10,0.05,41108,11
best,10,0.05,41090,11
best,10,0.05,40816,11
best,10,0.05,41104,11
best,12,0.0417,107051,14
best,12,0.0833,98972,13
best,12,0.0833,98934,13
best,12,0.0833,98590,13
best,12,0.0833,98800,13
best,12,0.0417,106579,14
best,12,0.0833,98799,13
best,12,0.0833,99008,13
best,12,0.0417,106732,14
best,12,0.0833,99080,13
best,13,0.0769,135991,13
best,13,0.1154,125441,12
best,13,0.0385,147057,14
best,13,0.0385,146922,14
best,13,0.0385,146883,14
best,13,0.1154,124964,12
best,13,0.0385,147134,14
best,13,0.1923,104338,10
best,13,0.0385,146419,14
best,13,0.1154,125776,12
best,14,0.1429,153314,11
best,14,0.0714,181541,13
best,14,0.1429,152786,11
best,14,0.1071,166817,12
best,14,0.1071,167627,12
best,14,0.1429,152680,11
best,14,0.0714,181698,13
best,14,0.0357,196149,14
best,14,0.1429,153297,11
best,14,0.0714,181850,13
best,20,0.475,200000,5
best,20,0.475,200000,5
best,20,0.475,200000,5
best,20,0.475,200000,5
best,20,0.475,200000,5
best,20,0.475,200000,5
best,20,0.475,200000,5
best,20,0.475,200000,5
best,20,0.475,200000,5
best,20,0.475,200000,5
first,4,0.0,134,4
first,4,0.0,142,4
first,4,0.0,132,4
first,4,0.0,191,4
first,4,0.0,188,4
first,4,0.0,167,4
first,4,0.0,155,4
first,4,0.0,137,4
first,4,0.0,149,4
first,4,0.0,113,4
first,5,0.1,314,6
first,5,0.2,268,4
first,5,0.2,288,5
first,5,0.2,299,5
first,5,0.2,395,4
first,5,0.2,284,4
first,5,0.0,465,7
first,5,0.2,361,5
first,5,0.0,288,7
first,5,0.1,422,6
first,6,0.1667,545,3
first,6,0.0833,668,6
first,6,0.0833,664,6
first,6,0.1667,537,5
first,6,0.0833,603,6
first,6,0.1667,544,5
first,6,0.0,598,7
first,6,0.0833,620,4
first,6,0.0833,809,5
first,6,0.1667,516,5
first,10,0.1,4509,10
first,10,0.2,3952,8
first,10,0.05,6815,11
first,10,0.15,4121,9
first,10,0.05,6964,11
first,10,0.1,4622,10
first,10,0.1,6487,10
first,10,0.1,5721,10
first,10,0.15,5325,9
first,10,0.1,6866,10
first,12,0.0,13243,15
first,12,0.0417,14401,14
first,12,0.0833,8783,13
first,12,0.0833,11514,13
first,12,0.1667,7871,11
first,12,0.0833,11379,13
first,12,0.0833,8102,13
first,12,0.0833,7960,13
first,12,0.0833,7942,13
first,12,0.0417,7949,14
first,13,0.1154,18088,16
first,13,0.0769,16523,16
first,13,0.1154,10735,15
first,13,0.0385,14512,17
first,13,0.1154,11336,16
first,13,0.0769,10906,17
first,13,0.0769,21026,15
first,13,0.0385,15552,18
first,13,0.0769,11202,17
first,13,0.1154,16101,14
first,14,0.0714,26940,14
first,14,0.0714,14592,14
first,14,0.0357,14933,15
first,14,0.0714,15425,14
first,14,0.1071,14879,13
first,14,0.0714,27110,14
first,14,0.0357,20178,15
first,14,0.1071,15321,13
first,14,0.0714,14332,14
first,14,0.0357,17110,15
first,20,0.05,126858,25
first,20,0.05,120483,27
first,20,0.05,79992,27
first,20,0.075,162820,24
first,20,0.05,126546,25
first,20,0.05,134337,27
first,20,0.05,105408,27
first,20,0.05,79239,27
first,20,0.05,148617,26
first,20,0.05,59359,27
k2,4,0.0,153,4
k2,4,0.0,172,4
k2,4,0.0,233,4
k2,4,0.0,147,4
k2,4,0.0,238,4
k2,4,0.0,157,4
k2,4,0.0,229,4
k2,4,0.0,152,4
k2,4,0.0,194,4
k2,4,0.0,171,4
k2,5,0.2,290,4
k2,5,0.1,412,6
k2,5,0.2,309,4
k2,5,0.2,302,4
k2,5,0.0,596,6
k2,5,0.2,333,4
k2,5,0.1,814,6
k2,5,0.2,325,4
k2,5,0.2,394,5
k2,5,0.1,343,5
k2,6,0.0833,708,5
k2,6,0.1667,614,5
k2,6,0.1667,601,4
k2,6,0.0833,1098,6
k2,6,0.0833,986,6
k2,6,0.0833,603,5
k2,6,0.0833,562,5
k2,6,0.1667,1029,5
k2,6,0.0833,629,5
k2,6,0.0833,695,5
k2,10,0.1,7830,10
k2,10,0.2,4386,8
k2,10,0.15,7018,9
k2,10,0.05,8917,11
k2,10,0.05,4249,11
k2,10,0.1,4487,10
k2,10,0.05,8105,11
k2,10,0.1,10066,10
k2,10,0.15,7058,9
k2,10,0.15,4309,9
k2,12,0.0,16722,15
k2,12,0.0833,8374,13
k2,12,0.0833,20947,13
k2,12,0.0833,8114,13
k2,12,0.0833,15966,13
k2,12,0.0417,16185,14
k2,12,0.0417,18199,14
k2,12,0.0417,11390,14
k2,12,0.0833,11380,13
k2,12,0.0417,9889,14
k2,13,0.0769,30538,15
k2,13,0.1154,11442,14
k2,13,0.1154,11617,15
k2,13,0.0769,33176,14
k2,13,0.1538,11641,13
k2,13,0.1154,11061,13
k2,13,0.0769,11113,16
k2,13,0.1154,11599,14
k2,13,0.0769,11698,16
k2,13,0.0385,28300,16
k2,14,0.0714,22037,14
k2,14,0.0714,14973,14
k2,14,0.1071,28687,13
k2,14,0.0714,15197,14
k2,14,0.0714,29682,14
k2,14,0.0714,28946,14
k2,14,0.1429,14690,11
k2,14,0.0714,28763,13
k2,14,0.1071,14790,13
k2,14,0.0357,14914,15
k2,20,0.075,108266,26
k2,20,0.05,117230,24
k2,20,0.1,59856,23
k2,20,0.0,126486,27
k2,20,0.025,231962,27
k2,20,0.05,61677,26
k2,20,0.075,74487,26
k2,20,0.025,163225,27
k2,20,0.1,59168,25
k2,20,0.1,60203,25
k5,4,0.0,238,4
k5,4,0.0,269,4
k5,4,0.0,279,4
k5,4,0.0,277,4
k5,4,0.0,277,4
k5,4,0.0,290,4
k5,4,0.0,218,4
k5,4,0.0,253,4
k5,4,0.0,307,4
k5,4,0.0,269,4
k5,5,0.3,348,3
k5,5,0.2,469,4
k5,5,0.1,635,5
k5,5,0.2,405,4
k5,5,0.1,815,5
k5,5,0.1,794,5
k5,5,0.0,760,6
k5,5,0.2,422,4
k5,5,0.1,707,5
k5,5,0.2,477,4
k5,6,0.0833,735,5
k5,6,0.1667,938,4
k5,6,0.0833,845,6
k5,6,0.1667,797,5
k5,6,0.1667,833,5
k5,6,0.1667,743,4
k5,6,0.1667,1193,5
k5,6,0.0833,840,5
k5,6,0.0833,1189,6
k5,6,0.0833,1001,6
k5,10,0.05,9122,11
k5,10,0.1,5235,10
k5,10,0.1,5019,10
k5,10,0.05,10123,11
k5,10,0.1,12363,10
k5,10,0.05,4632,11
k5,10,0.1,4649,10
k5,10,0.1,8435,10
k5,10,0.05,4974,11
k5,10,0.15,5682,9
k5,12,0.0833,16574,13
k5,12,0.0833,24253,13
k5,12,0.0417,26527,14
k5,12,0.1667,16086,11
k5,12,0.125,9470,12
k5,12,0.0833,24629,13
k5,12,0.0417,17208,14
k5,12,0.125,9599,12
k5,12,0.0833,9578,13
k5,12,0.0833,24105,13
k5,13,0.0385,34480,16
k5,13,0.0769,33124,15
k5,13,0.1154,22539,14
k5,13,0.1154,13263,15
k5,13,0.1923,11244,12
k5,13,0.0769,34035,16
k5,13,0.0385,13364,15
k5,13,0.0769,12349,15
k5,13,0.0385,34291,16
k5,13,0.0385,43955,16
k5,14,0.0357,30294,15
k5,14,0.1071,15870,13
k5,14,0.1071,29962,13
k5,14,0.0714,30052,14
k5,14,0.0714,31154,14
k5,14,0.0714,31135,14
k5,14,0.1071,15691,13
k5,14,0.0714,29313,14
k5,14,0.0714,17249,14
k5,14,0.0714,31392,14
k5,20,0.05,175799,24
k5,20,0.05,177850,24
k5,20,0.05,181257,23
k5,20,0.125,63504,21
k5,20,0.075,234384,24
k5,20,0.125,65735,21
k5,20,0.025,181151,27
k5,20,0.025,180359,25
k5,20,0.025,236965,26
k5,20,0.1,63046,22
k10,4,0.0,348,4
k10,4,0.0,367,4
k10,4,0.0,352,4
k10,4,0.0,366,4
k10,4,0.0,377,4
k10,4,0.0,356,4
